"Organization","Permit_Adminid","Permit_Name","Facility_Name","Facility_Status","Locality","MP_Name","MP_Type","Intake_Capacity_(MGD)","Source_of_Capacity_Estimate","Exemption_Code","Max_Pre-89_(MGY)","VDH_Total_Pumping_Capacity_(MGD)","401_Certification_Limit_(MGD)","Max_Pre-89_(MGM)"
"Charles B Leech IV","68694","INGLESIDE DAIRY FARM, INC.(INGLESIDE DAIRY FARM, INC.)","INGLESIDE DAIRY FARM, INC.","active","Rockbridge","Spring","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Hotel","70832","INGLESIDE GOLF(VERONA)","INGLESIDE GOLF","active","Augusta","BONFOEY'S FARM CREEK","Surface Water Intake","0","","0","2.592","0","0","0.648"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL NORTH","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL NORTH","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","CABIN POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","CABIN POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","EXETER","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","EXETER","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL SOUTH","Surface Water Intake","0","","5","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL SOUTH","Surface Water Intake","0","","5","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","LIBERTY POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","LIBERTY POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","WALNUT HILL","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","WALNUT HILL","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","WIRTLAND POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","WIRTLAND POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","MILL POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","MILL POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","PROPAGATION POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","PROPAGATION POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","LIBERTY POND #2","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","LIBERTY POND #2","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","ROXBURY POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","ROXBURY POND","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","DODDS POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","DODDS POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL NORTH #2","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","BUNKER HILL NORTH #2","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","JEFFRIES POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","JEFFRIES POND","Surface Water Intake","0","","4","0","0","0","0"
"Ingleside Plantation Inc","69713","INGLESIDE PLANTATION NURSERIES(INGLESIDE PLANTATION NURSERIES)","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Ingleside Plantation Inc","410480","Ingleside Plantation","INGLESIDE PLANTATION and LIBERTY FARM","active","Westmoreland","RAPPAHANNOCK RIVER","Surface Water Intake","0","","0","0","0","0","0"
"International Tn & Country Clb","70317","INTERNATIONAL TN & COUNTRY CLB(INTERNATIONAL TN & COUNTRY CLB)","INTERNATIONAL COUNTRY CLUB","active","Fairfax County","POND #6","Surface Water Intake","1.2","VWUDS Form","1","44.992","0","0","8.61"
"Parker Hannifin Corp","70533","Iron Gate Warehouse(IRON GATE PLANT)","Iron Gate Warehouse","active","Alleghany","LITHIA SPRING","Surface Water Intake","0","","0","123.1","0","0","14.1"
"Timothy L Shelton","68939","Irrigation Pump(SHELTON FARMS)","Irrigation Pump","active","Pittsylvania","FARM POND","Surface Water Intake","0","","5","0","0","0","0"
"Bedford Regional Water Authority","68756","ISLE OF PINES SERVICE AREA abandon tied into SML Cental(ISLE OF PINES SERVICE AREA)","ISLE OF PINES SERVICE AREA abandon tied into SML Cental","abandoned","Bedford County","isle of pine","Surface Water Intake","0","","0","0","0","0","0"
"Bedford Regional Water Authority","68756","ISLE OF PINES SERVICE AREA abandon tied into SML Cental(ISLE OF PINES SERVICE AREA)","ISLE OF PINES SERVICE AREA abandon tied into SML Cental","abandoned","Bedford County","isle of pines","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Isle of Wight (Agriculture)","proposed","Isle of Wight","Isle of Wight (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Isle of Wight (Community Water System)","proposed","Isle of Wight","Isle of Wight (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","Isle of Wight (Large Self-Supplied User)","proposed","Isle of Wight","Isle of Wight (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"Wythe County & New River Regional Water Authority","69757","IVANHOE-MAX MEADOWS WTP(IVANHOE-MAX MEADOWS)","IVANHOE-MAX MEADOWS WTP","active","Wythe","POWDER MILL BRANCH","Surface Water Intake","0","","5","36.3","0","0","3.7"
"Ivy Creek Golf Course","69391","IVY CREEK GOLF COURSE(IVY CREEK GOLF COURSE)","IVY CREEK GOLF COURSE","inactive","Albemarle","IVY CREEK TRIBUTARY","Surface Water Intake","0","","0","8.006","0","0","1.77"
"Dietrich And Helga Westphal","70783","IVY HILL FARM","IVY HILL FARM","active","Clarke","FARM POND","Surface Water Intake","0","","1","0","0","0","0"
"Ivy Hill Golf Course","70914","IVY HILL GOLF COURSE(IVY HILL GOLF COURSE)","IVY HILL GOLF COURSE","active","Bedford County","POND #2  ON HOLE #16","Surface Water Intake","0","","5","14.1","0","0","4.4"
"Ivy Hill Golf Course","70914","IVY HILL GOLF COURSE(IVY HILL GOLF COURSE)","IVY HILL GOLF COURSE","active","Bedford County","POND #1 ON HOLE #7","Surface Water Intake","0","","5","0","0","0","0"
"Anne B Jones","71048","JACK HARRELL, LEASEE(JACK HARRELL, LEASEE)","JACK HARRELL, LEASEE","inactive","Isle of Wight","BLACKWATER RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Jackie Chappell","69186","Surface Water Reporting - [no name]","JACKIE CHAPPELL","active","Halifax","POND","Surface Water Intake","0","","0","0","0","0","0"
"Jackie Chappell","69186","Surface Water Reporting - [no name]","JACKIE CHAPPELL","active","Halifax","POND ?????","Surface Water Intake","0","","5","0","0","0","0"
"Rogers Leavine","69384","JACKSON RIVER BERRY FARM","JACKSON RIVER BERRY FARM","inactive","Alleghany","JACKSON RIVER","Surface Water Intake","0","","0","0","0","0","0"
"Covington, City Of","69637","JACKSON RIVER WTP 1(COVINGTON)","JACKSON RIVER WTP 1","active","Covington","JACKSON RIVER","Surface Water Intake","6","VWUDS Form","1","885.825","9.07","0","97.03"
"Vulcan Construction Materials LLC","71439","JACK STONE QUARRY(JACK STONE QUARRY)","JACK STONE QUARRY","active","Dinwiddie","BOOTH RUN","Surface Water Intake","0","","1","1709.39","0","0","161.107"
"James And Jimmy Rigney","69889","Surface Water Reporting - [no name]","JAMES AND JIMMY RIGNEY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","4","0","0","0","0"
"James And Jimmy Rigney","69889","Surface Water Reporting - [no name]","JAMES AND JIMMY RIGNEY","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"James  A Thompson Jr","69987","Surface Water Reporting - [no name]","JAMES  A THOMPSON JR","active","Pittsylvania","FARM POND???","Surface Water Intake","0","","5","0","0","0","0"
"James B Tatum","70741","Surface Water Reporting - [no name]","JAMES B TATUM","inactive","Pittsylvania","TANYARD CREEK","Surface Water Intake","0","","0","0","0","0","0"
"James B Tatum","70741","Surface Water Reporting - [no name]","JAMES B TATUM","inactive","Pittsylvania","SOUTH PRONG SANDY RIVER","Surface Water Intake","0","","0","0","0","0","0"
"","0","","James City (Agriculture)","proposed","James City","James City (Agriculture) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","James City (Community Water System)","proposed","James City","James City (Community Water System) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"","0","","James City (Large Self-Supplied User)","proposed","James City","James City (Large Self-Supplied User) - Intake","Surface Water Intake","0","","0","0","0","0","0"
"James E Wenger","70166","Surface Water Reporting - [no name]","JAMES E WENGER","active","Augusta","MIDDLE RIVER","Surface Water Intake","0","","0","5.43","0","0","3.258"
"James E Wenger","70166","Surface Water Reporting - [no name]","JAMES E WENGER","active","Augusta","MIDDLE RIVER","Surface Water Intake","0","","5","0","0","0","0"
"Donald Andrews","68744","James H. Ritchie(Turner Family Farm)","James H. Ritchie","active","Dinwiddie","RR Pond","Surface Water Intake","0","","0","0","0","0","0"
"Donald Andrews","68744","James H. Ritchie(Turner Family Farm)","James H. Ritchie","active","Dinwiddie","Route 1 Pond","Surface Water Intake","0","","0","0","0","0","0"
"Donald Andrews","68744","James H. Ritchie(Turner Family Farm)","James H. Ritchie","active","Dinwiddie","Mex. Housefld. Pond","Surface Water Intake","0","","0","0","0","0","0"
"James H. Vance","70247","Surface Water Reporting - [no name]","JAMES H. VANCE","inactive","Shenandoah","NORTH FORK SHENANDOAH RIVER","Surface Water Intake","0","","0","0","0","0","0"
"James L. Will And Sons","70828","Surface Water Reporting - [no name]","JAMES L. WILL AND SONS","inactive","Rockingham","MOSSY CREEK","Surface Water Intake","0","","1","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","PAMUNKEY RIVER - SLATERS","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","PAMUNKEY RIVER - LS 1 1A","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","PAMUNKEY RIVER - LS4 HP","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","PAMUNKEY RIVER - LS 1 1A","Surface Water Intake","0","","1","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","SLATERS 6T - Pamunkey River","Surface Water Intake","0","","2","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","PAMUNKEY RIVER - LS2 HP","Surface Water Intake","0","","1","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","SLATERS 3T - Pamunkey River","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","Slaters 7T - Pamunkey River","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","GOULD HILL 3T","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","GOULD HILL 6T MIDDLE ","Surface Water Intake","0","","0","0","0","0","0"
"James M Newcomb & Sons","71198","JAMES M NEWCOMB & SONS (5121)(LIBERTY SPRINGS FARM)","JAMES M NEWCOMB & SONS (5121)","active","Hanover","GOULD HILL 6T BACK","Surface Water Intake","0","","0","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 1    FARM #1350","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 2    FARM #1426","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 2    FARM #1357","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 1    FARM #1426","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 3    FARM #1357","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","CREEK          FARM #1335","Surface Water Intake","0","","5","0","0","0","0"
"James N Adams","69220","Surface Water Reporting - [no name]","JAMES N ADAMS","inactive","Lunenburg","FARM POND 1    FARM #1357","Surface Water Intake","0","","5","0","0","0","0"
"James N Terry Jr","70755","Surface Water Reporting - [no name]","JAMES N TERRY JR","inactive","Pittsylvania","FARM POND","Surface Water Intake","0","","0","0","0","0","0"
"Virginia, Commonwealth Of","68911","JAMES RIVER CORRECT. CNTR WTP(STATE FARM)","JAMES RIVER CORR. CNTR WTP","active","Goochland","BEAVERDAM CREEK","Surface Water Intake","0","","1","345.681","6.6","0","47.337"
"Virginia, Commonwealth Of","163142","James River Correctional Center Water System","JAMES RIVER CORR. CNTR WTP","active","Goochland","BEAVERDAM CREEK","Surface Water Intake","0","","1","345.681","6.6","0","47.337"
"Virginia, Commonwealth Of","428195","James River Correctional Center (JRCC)","JAMES RIVER CORR. CNTR WTP","active","Goochland","BEAVERDAM CREEK","Surface Water Intake","0","","1","345.681","6.6","0","47.337"
"Virginia, Commonwealth Of","68911","JAMES RIVER CORRECT. CNTR WTP(STATE FARM)","JAMES RIVER CORR. CNTR WTP","active","Goochland","JAMES RIVER","Surface Water Intake","2","VWUDS Form","0","0","6.6","0","0"
"Virginia, Commonwealth Of","163142","James River Correctional Center Water System","JAMES RIVER CORR. CNTR WTP","active","Goochland","JAMES RIVER","Surface Water Intake","2","VWUDS Form","0","0","6.6","0","0"
"Virginia, Commonwealth Of","428195","James River Correctional Center (JRCC)","JAMES RIVER CORR. CNTR WTP","active","Goochland","JAMES RIVER","Surface Water Intake","2","VWUDS Form","0","0","6.6","0","0"
"James River Country Club","66298","James River Country Club","James River Country Club","active","Newport News","JRCC POND","Surface Water Intake","0","","5","13.473","0","0","2.311"
"James River Water Authority","398103","James River Water Supply Project","James River Water Supply Project","proposed","Fluvanna","James River intake","Surface Water Intake","0","","0","0","0","0","0"
